id,author,pubdate,description,sentimen
183,@fajzaryashofar7663,4/29/24 12:10,Kurang zalim apalagi coba pejabat2 di Indonesia ðŸ˜  orang buta dipalak ratusan juta,negatif
184,@user-rs2yk4zl2l,4/29/24 12:09,Ini utk sekolah,negatif
185,@alanmaulana3851,4/29/24 12:09,Oi siswa yg asli dapet bntuan udah keburu lulus anj... yg dapet malah adik kelasnya..,negatif
186,@udinsamir7689,4/29/24 12:09,BEA Cuihhhh....,negatif
187,@bettamadesimple9139,4/29/24 11:59,rakuuusss itu untuk anak SLB belajar bgsd,negatif
188,@pavise6333,4/29/24 11:56,Yang tuna netra itu becuk. Udah buta mata hatinya,negatif
189,@johnadi3126,4/29/24 11:54,Alangkah jahat nya oy...buat anak SLB aja disikat wkwk...,negatif
190,@realmipro6006,4/29/24 11:52,AKIBAT METERI NYA KACUNG PENJAJAH AMERIKA,negatif
191,@ismoencanal1064,4/29/24 11:51,Itulah mengapa pemerintah tidak pernah mendukung hasil karya inovasi produk.. Karna barang dari dalam pajaknya minim..,negatif
192,@Nurlailawati-wh7vj,4/29/24 11:51,kpk turunkan,negatif
193,@BaturLombok,4/29/24 11:49,"Preman berkedok ,bia Cukai ,pecat dan penjara aja oknum sampah",negatif
194,@bahtiaraditya4421,4/29/24 11:48,"Mantap , pilihan prabowo sedangkan prabowo melanjutkan jokowi , berarti 10 tahun lagi keadaan masih kaya gini , semangat guys",negatif
195,@silversword3441,4/29/24 11:48,kl pemimpinnya suka m3langgar apalagi yg dibawahnya,negatif
196,@theprototype8632,4/29/24 11:44,Bukannya malah membantu sekolah SLB. Malah kebalikannya.,negatif
197,@autodeleteon1274,4/29/24 11:42,Ngeleeass ae,negatif
198,@sulisoke,4/29/24 11:41,"Viralin... Biadab itu sih, hibah utk pendidikan kok dkenakan pajak. 0% harusnya!!!",negatif
199,@jarwo-ci9lb,4/29/24 11:39,Negri konoha penuh drama,negatif
200,@user-uy3vt3qh1t,4/29/24 11:37,Katanya BERAGAMA MENGHINDARI MAKAN HARAM TAPI PENGHASILANNYA CARI YG HARAM ATAS NAMA NEGARA...PERASLAH RAKYAT SEBESAR BESARNYA BIAR MAKMUR 7 TURUN AN,negatif
201,@AhmadAndreA.,4/29/24 11:34,ALLAHHUMMA SHOLLI ALA SAYYIDINA MUHAMMAD WA\'ALA AALII SAYYIDINA MUHAMMAD ALLAHHUMMASHOLLIALAIH MASYAALLAH SHUBANALLAH YA ALLAH SWT.ðŸ¥°ðŸ¥°ðŸ‡®ðŸ‡©ðŸ‡®ðŸ‡©ðŸ‡®ðŸ‡©â™¥ï¸ðŸ‡µðŸ‡¸ðŸ‡µðŸ‡¸ðŸ‡µðŸ‡¸ðŸ¤²ðŸ»ðŸ‡²ðŸ‡¾ðŸ‡²ðŸ‡¾.,netral
202,@fuguface,4/29/24 11:33,Dadi perek ae mul,netral
203,@JP-kq7rg,4/29/24 11:31,NGAPAIN MASIH ADA RAPAT ? LANGSUNG AJA PECAT GANTI ORANG2NYA,negatif
204,@EdyPurwantoko,4/29/24 11:29,Ya di bebasin dong dari pada kebongkar lebih banyak...,negatif
205,@febrianagung2499,4/29/24 11:25,Lucuuuuuu,netral
206,@abihaerudin7180,4/29/24 11:24,"Mana nih suaranya para ustadz dan Gus pembela pajak? Nongol dong, jangan cuma cari muka, cari popularitas.",negatif
207,@adithreeIndonesiaforever,4/29/24 11:23,kalau harley davidson free passðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚,negatif
208,@petualang_q9494,4/29/24 11:22,Kita doakan bersama amin,netral
209,@hebathebat9925,4/29/24 11:22,No viral no justice,negatif
210,@triyanto7599,4/29/24 11:20,Harus di SIDAK DULU baru di rubah\' kebiasaan para OKNUM yang dapat dilakukan bila tidak ada INSPEKSI\' dasar MALING\'!,negatif
211,@eeniin-iw5kd,4/29/24 11:18,gaji aja besar ternyata kerja pegawai nya bobrok dan terkesan hanya mengejar target untuk mendapat bonus dari kerja yg memang sengaja mencari target pendapatan entah untuk kepentingan siapa....,negatif
212,@mamuk3394,4/29/24 11:17,Negrii bobroook di biarkan ajaa,negatif
213,@abdulsyuibtanjung2853,4/29/24 11:16,"Malu lah...., Gaji dari uang rakyat, Malah nyusahin Rakyat ðŸ˜¢ðŸ˜¢ðŸ˜¢",negatif
214,@indahcargo9210,4/29/24 11:15,"Waduuuuh tega skli beacukai bener2 tak pny hati gila pntes bnyk korupsi di beacukai, tolong bu mentri pecat biar semua oknum beacukai n jg barang2 TKI yg di tahan kasian in donk mrk beacukai gudang korupsi pantes semuanya pd kaya raya enak cpt kaya yaitu beacukai gila bener",negatif
215,@iconpositip8351,4/29/24 11:13,Kerjaan sri apa aja? Ngutang jor2an lalu sogok rakyat simpati pilih kodok anak kodok dg blt2 semacamnya dan bansos,negatif
216,@mieayamindorasa2,4/29/24 11:12,Bismillah ðŸ§astagfirullah. ðŸ™ðŸ™,netral
217,@AslamAs-jp2oy,4/29/24 11:11,"Dasar,,, pecat semua ..",negatif
218,@bangbens5165,4/29/24 11:10,"Udahlah alat belajar anak tunanetra tertahan sejak 2022,,, sekarang 2024, hibah pula... Tamak banget bea cukai ini...",negatif
219,@RiyantoAnto-mz6mv,4/29/24 11:10,tenang tar bansos nya cair,negatif
220,@muhammadabahraq5386,4/29/24 11:10,"Bea Cukai sudah sering buat masalah, pegawainya juga banyak yg kena kpkðŸ˜‚",negatif
221,@dederahman2830,4/29/24 11:10,buat orang susah saja dupersulit,negatif
222,@fatihchanel4272,4/29/24 11:10,Lahan basah,netral
223,@user-cj7rd2gc7j,4/29/24 11:08,Bea cukai itu rampok berseragam,negatif
224,@nansnuraini7337,4/29/24 11:08,"Mohon Pemerintah,Usut tuntas  tertibkan aparatÂ²/fihakÂ² yg nakal, Krn srg trjd Pemalakan oleh aparat yg brrtindak sewenangÂ² (drmn lagi bs dpt duit tambahan kalo tdk dg cara bgni,ya kan??? ) Juga srg trjd pd TKI yg pulkam Indonesia.kena pajak yg sgt byk  mahal.",negatif
225,@sarmanayaho3903,4/29/24 11:08,"Kok yang bersangkutan ga di pecat ya,",negatif
226,@DjiTu-fw5rb,4/29/24 11:07,Taaaaaaaaaaaaaaa,netral
227,@AditBuaran,4/29/24 11:07,Harus viral dulu...,negatif
228,@user-wp4lw9eb3c,4/29/24 11:07,"Udah tanggung, jogetin aja udah percuma konoha diujung tanduk, malingnya tekoordinir.",negatif
229,@AditBuaran,4/29/24 11:06,Ampun deh,negatif
230,@YantiLathifah-dy9qr,4/29/24 11:06,Indoneisa surgannya para koruptot,negatif
231,@aikenspace1435,4/29/24 11:05,ok gasss,netral
232,@stampleuji5385,4/29/24 11:05,Bea cukai adalah komplotan Orang gilaa sesungguhnya,negatif
233,@gunadAgp,4/29/24 11:04,"Itu kalau banyar beacukai duwitnya di kemana kan,... apakah masuk ke kantong gerombolan anggota beacukai",negatif
234,@Libra05107,4/29/24 11:03,Ayo kejar terus pajak... Negara saat kere habis anggaran buat IKN ðŸ˜ŠðŸ˜ŠðŸ˜Š,negatif
235,@ermerawati2529,4/29/24 11:03,Kuwalatttt nggawe susah wong cilikðŸ˜‡ðŸ˜‡ðŸ˜‡ðŸ˜‡,negatif
236,@daviderlangga6916,4/29/24 11:02,Bu Sri Mulyani...Turun tangan ke Bea Cukai tuh gak perlu pelanÂ² bicaranya kalau ketemu kasus beginian...gebrak meja laaahhhðŸ˜…,negatif
237,@rippanagugusansufi7497,4/29/24 11:02,Gk salah ngomoh cur peningkatan perasannya kali,negatif
238,@kumajayawilly3883,4/29/24 11:01,ðŸ˜‚ðŸ˜‚ðŸ˜‚,netral
239,@rippanagugusansufi7497,4/29/24 11:00,Gila msh krang kah duit gaji bro ampe segitunya!?ðŸ˜¢,negatif
240,@herdiasdiratama523,4/29/24 10:59,Bea Cukai = Lahan basah Tak tau malu,negatif
241,@HidunggHitamm-ki7ki,4/29/24 10:58,rezim pembohong ya kya gini..udah hutang sngt numpuk..koruptor no 1.alam rusak..kriminal dmna2 narkoba tiap daereah...ancur negri ini g sampe 15 thn...sngt2 mafia skali pantesan hilang berkahnya negri ini...,negatif
242,@dylandsukses5402,4/29/24 10:58,"Ben kapok, oknumya semua perlu diadit bpk",negatif
243,@roslan1486,4/29/24 10:56,JANGAN HERAN JIKA ANAK CUCU DARI PEGAWAI BEA DAN CUKAI YANG BEGINI BANYAK YANG JADI KORUPTOR JIKA JADI PEJABAT ðŸ˜‚ðŸ˜‚ðŸ˜‚,negatif
244,@sandysanada9859,4/29/24 10:56,BEA CUKAI TUKANG PALAK BERSERAGAM,negatif
245,@abdineallah2262,4/29/24 10:54,Bea cukai menindas rakyat...tolong hentikan...,negatif
246,@volkloonwhitchip7885,4/29/24 10:54,Bikin sendiri! Jangan impor mulu!,negatif
247,@user-eb4dv6lu7w,4/29/24 10:53,Bea cukai......??????? Hei petugas hidup bukan hanya uang....belajarlah melayani yang memerlukan bantuan.,negatif
248,@aiswadede8286,4/29/24 10:51,"kayk gak tau aja,banyak garong",negatif
249,@tommyrandvt6186,4/29/24 10:50,"Rakus, kebutuhan rakyat yg buta aja masih dikadalin. Rakyat yg buta lg, g da otaknya nih orgÂ² ini",negatif
250,@Archipelagoes,4/29/24 10:50,Jahat gileee,negatif
251,@pakyadi1207,4/29/24 10:49,Seharusnya beacukai jangan selalu mempersulit barang yg dibutuhkan untuk pendidikan,negatif
252,@ereii6647,4/29/24 10:48,"Hahaha kok bisa begitu bea cukai? Tugas kalian kan bukan di beritahu baru action, namun memang menelusuri dan melakukan UU dgn benar",negatif
253,@KAMBING_UNIVERSE-rz6qr,4/29/24 10:48,Klo gak di getok palanya gak nyadar orang2 tua ini,negatif
254,@om_kong,4/29/24 10:48,Efek kasus kemarin biar di bilang gak pandang bulu  ketat. Malah blunder,negatif
255,@yulianah6679,4/29/24 10:47,Bea cukai klo bermasalah sdh gk usah ada klr masuk barang saja.tambah cuan saja kasus2y sekarang,negatif
256,@user-jw4ym9qq2t,4/29/24 10:47,Amit2 pejabat diindonesia zolim semua,negatif
257,@fangboy4940,4/29/24 10:47,"Indahnya konoha saat ini ðŸ˜ƒ, sama MK sensei sudah dispil tuh konoha akan hancur di eps 1 boruto ðŸ¤£",negatif
258,@pariamanpakpahan2453,4/29/24 10:46,Sangat memalukan bahkan bikin jijik,negatif
259,@bambangdarmawan2719,4/29/24 10:46,Petugas Bea Cukai mmg harus di up grade ttg aturan2 barang dr LN khususnya yg dikirim oleh TKI,negatif
260,@riawanprabowo5600,4/29/24 10:46,"Alasannya asal bunyi.... ..!!, tak punya empati dan tak memiliki nurani....!!! ...biadab",negatif
261,@earthweliving,4/29/24 10:45,Yg penting cuan,negatif
262,@user-gx8lq4sc4c,4/29/24 10:45,"perlu perubahan mental nih semua dirjen bea cukai....... viral minta maaf di bebaskan, gk viral diem diem bae..... kayaknya yg jungjunan nya ke luar negri alasan nya studi banding trus pada belanja yakin di bebaskan kan........ mungkin x yah......",negatif
263,@user-yy5qu7rz6i,4/29/24 10:45,Biasa udah tak heran lagi,negatif
264,@purwantoanto2860,4/29/24 10:45,Dah kaya jaman kompeni aja ya...,negatif
265,@cokysugiono2461,4/29/24 10:44,Dah gila tuh bea cukai,negatif
266,@kalengkerupuk6529,4/29/24 10:44,Stop bayar pajak,negatif
267,@handri2421,4/29/24 10:44,Hidup negriku Hidup bangsaku Tapi anu ya anu ....... Haahhaha,negatif
268,@aegyosone,4/29/24 10:43,nagih berapa yg di input berapa.. permainanðŸ˜‚ðŸ˜‚,negatif
269,@kalebsibarani4813,4/29/24 10:43,"Mundur dong bu ,kau ngak becus",negatif
270,@indahcitra7027,4/29/24 10:43,Koruptor kok gak ditagih ya.,negatif
271,@diannugroho813,4/29/24 10:42,Mugo2 kenek karma,negatif
272,@nbprast304,4/29/24 10:42,"Serius kalo kerja di bea cukai ga usah ambil gaji pokok, udah bisa banyak duit ... (Cerita ini hanya fiktif belaka)",negatif
273,@user-xb7jm4gt4g,4/29/24 10:42,Matamu uang aja telek,negatif
274,@mbembetlite3240,4/29/24 10:41,Semoga dilaknat dunia akhirat para oknum sampah,negatif
275,@yuliriyanti8351,4/29/24 10:41,Hanya bisa tertawa demi dapat uang apapun dilakuin ðŸ¤£ðŸ¤£,negatif
276,@user-nj7mj9uk5k,4/29/24 10:41,Syukurlah akhir bebas bea walaupun sudah tertahan selama dua tahun.....hal2 seperti ini tdk boleh terjadi lagi....bea cukai harus pintar juga....,negatif
277,@pandoratoromakto5882,4/29/24 10:41,"Alasannya demi republik Indonesia,padahal mereka semua penjahat negara Indonesia,,,,, Beacukai ladang para pejabat korupsi....",negatif
278,@abatajaya6263,4/29/24 10:41,Sepertinya bea cukai adalah alat pemerintah memeras dan me ngumpulkan duit ..(yg namanya denda itu tidak sama dgn harga pokok barang..kalo lebih artinya pemerasan),negatif
279,@AhmadYani-Farm,4/29/24 10:40,Terima barang sambil foto foto nyengir....agak ga pantes ekspresi nya... harusnya tuh ðŸ™ begitu ke ibu nya saat terima SBG tanda maaf dah bikin gaduh,negatif
280,@intheskyprojeck,4/29/24 10:40,FUCKING BEA CUK.GILIRAN VIRAL BARU DI KASIHIN .DARI 2022 LOH BARU DI KASIH 2024 COBA NETIZEN GA GERAK GA BAKALAN TUH BARANG UNTUK ANAK ANAK SLB DI KASIHIN BENER BENER KETERLALUAN BEA CUK,negatif
281,@evysusanti2264,4/29/24 10:40,"Mosok seehh gak tau klo itu barang hibah... lantas bisa tetapkan pajak 301jt dasar itung2annya drmana coba, wong itu bukan barang komersil ??!!",negatif
282,@aidamarsyaa906,4/29/24 10:39,"Daribdulu kerja beabcukai iti memalak, karyawan bea cukai harus digantinsemuanya",negatif
283,@sahabatsejati6915,4/29/24 10:39,Masih kurang kaya ya... Si Bea Cukai...?,negatif
284,@anjas5892,4/29/24 10:39,Di sini apa ada yg liat orang bea cukai hidup pas pasan?,negatif
285,@juliatiardhi9114,4/29/24 10:38,Bea cukai pejabatnya kena karma buruk....keterlaluan jahatnya,negatif
286,@imansantosa6331,4/29/24 10:38,Harus viral dulu kahhhh???,netral
287,@user-gs1pu4or7k,4/29/24 10:37,Jogetin aja ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚,netral
288,@irisoppo3498,4/29/24 10:37,Moral dan otak petugas bea cukai perlu ditata,negatif
289,@limyanti6408,4/29/24 10:36,"Tega banget ya , boro2 bantu",negatif
290,@cahayakehidupan3130,4/29/24 10:36,"Astagfirullah, meres banget. Kerja kayak gitu gak 1:19 halal uangnya. Padahal banyak uang pajak yang dikorupsi.",negatif
291,@wahyuhidayatdayat257,4/29/24 10:36,Viral dulu baru di respon,negatif
292,@bandungonlinechannel3327,4/29/24 10:36,"Ini lah pengaplikasian sikat semua tak bandang bulu tapi sayangnya dalam hal negatif, jangankan rakyat miskin SLB saja disikat, miris... ðŸ˜¢ðŸ˜¢ðŸ˜¢",negatif
293,@restioktayulia9803,4/29/24 10:35,Klo gak salah udah 3berita ni.1 tkw bawak emas.2 sepatu.3 ya ini.wajar gk ya..pa terkejar tuk kaya yaðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚,negatif
294,@Luke7L,4/29/24 10:35,"Ini yg viral, lah yg gk viral ?",negatif
295,@abdanraihan4386,4/29/24 10:35,Wkwkwkwk... wakanda poreper dah...,netral
296,@parnoanyar6819,4/29/24 10:35,Ga ada otaknya,negatif
297,@aris7152,4/29/24 10:34,Kenapa sih pada ngatain slow aja mungkin anak nya lagi minta zet pribadi tau sendirikan anak anak pejabat itu seperti apa kayak yang udh viral pasti ga beda jauh kelakuannya,negatif
298,@karaekonadarendah2840,4/29/24 10:34,"Ok gasss.., Jogetin saja., bawa ke disco",netral
299,@nimatulmaula79465,4/29/24 10:34,Bea cukai dikejar target buat bayar hutang negara,negatif
300,@chandrairawan9738,4/29/24 10:34,"Setelah Fitri di bln Ramadhan,mari beramai2 bikin dosa lg. Tahun depan selalu ada bln Ramadhan dimn semua dosa di bersihkan/Fitri kan lg. Mari kita umat muslim jngn pny pola pikir yg salah dlm memaknai FITRI di bln RamadhanðŸ˜­ðŸ˜­ðŸ™ðŸ™",negatif
301,@EkaTjahjanto-kb1cw,4/29/24 10:33,Bea Cukai paraaaahhhh rusaknya .....,negatif
302,@afbyuuki6306,4/29/24 10:33,Bea cukai peras uang ðŸ˜‚,negatif
303,@hellboy8726,4/29/24 10:32,"Harus dikecualikan lahh, masa iya barang hibah apalagi itu kan untuk SLB masa pajaknya disamakan., Benar2 parah ini bea cukai",negatif
304,@PahayuJaya-zv1zx,4/29/24 10:32,Usut bea cukai,negatif
305,@MuchlasBagus-ei1zb,4/29/24 10:31,Ben kualat beacukai imigrasi sak kantore,negatif
306,@j2primepluss631,4/29/24 10:31,Makanya petugas bea cukai kaya raya tdk mikir org kecil....,negatif
307,@kavtech_midi,4/29/24 10:30,Birokrasi disini memua*an...,negatif
308,@ToniAgustian,4/29/24 10:30,parah masalah etik di negri ini... terlalu banyak pemuja cuan.,negatif
309,@hilwyasukarmadidja328,4/29/24 10:30,Kemiskinan tetap tinggi bila korupsi dibiarkan meraja Lela ðŸ˜¢,negatif
310,@Pipinrosyadi69,4/29/24 10:30,Alat slb pun di makannya juga.srimulyani bukan saja turun gunung tp langsung tangkap pelaku yg meminta tagihan alat slb.bukan memberi dongeng.,negatif
311,@umarbinkattab2241,4/29/24 10:29,"Pungli di Indonesia sih bnr2 dah gila, gak menurun. Tapi makin menggila",negatif
312,@radianrusli-vp1ev,4/29/24 10:28,Sikat semua ngak pandang buluh..ðŸ˜‚ðŸ˜,negatif
313,@yukio9723,4/29/24 10:28,Emang nih institusi udah rusak/bobrok. Ga ada gunanya,negatif
314,@yogid1854,4/29/24 10:28,Pantesan oknum2 pejabat bea cukai kaya2. Kayaknya KPK harus cek harta mereka deh. Kalo ga gitu kasian orang beli produk dari luar negeri diperas. Kayak SLB beli produk buat belajar diperas ratusan juta.,negatif
315,@Luke7L,4/29/24 10:37,"Hartanya diumpetin, ada yg dipendem ditanah, ada yang dicor semen",negatif
316,@RoulandTasik,4/29/24 10:28,"Cape lihat sepak terjang bea cukai, ada saja oknum yg mencari celah untuk ngelaba (sulit cari yg amanah).. !!!ðŸ˜¢ðŸ˜®ðŸ˜¢ðŸ˜‚",negatif
317,@Cleans_Animal_Toys,4/29/24 10:28,"Lawak BC, rokok ilegal galak, minta solusi kaga di kasi ðŸ˜‚ðŸ˜‚ pokoknya harus bayar cukai, spb pula lu palakin, woi bea congek",negatif
318,@arijoens8688,4/29/24 10:28,Birokrasi mbulet mÃ sih di rawat.,negatif
319,@kitink8841,4/29/24 10:28,"EMang lah yg punya jabatan di indonesia klo ga viral sampe ratusan tahun pihak beacukae akan sepwrti itu trus, indonesia sangat memalukan menjijikkan bangke",negatif
320,@erpanbangun6642,4/29/24 10:28,Bedebah,negatif
321,@sumantri281,4/29/24 10:28,"Lag, ðŸ™ðŸ™",netral
322,@jhonyube1508,4/29/24 10:27,Dikasih gratis dari luar negri.... Tapi bayar d negara sendiri.... Parah parah,negatif
323,@idamudjiprijanto5252,4/29/24 10:27,"Gak usah diambil, gitu aja kok repot. Itu barang hibah diterima sejak Tahun 2022. Kok baru diperhatikan setelah ribut, apa gak ada laporan secara berjenjang ya jk ada barang hibah yg tertahan...",negatif
324,@rifulz,4/30/24 1:15,Ngebantu pendidikan slb gamau giliran ada yang bantu pendidikan slb malah dipersulit,negatif
325,@bossghani,4/29/24 10:27,Suog,netral
326,@user-xl8es4lh3j,4/29/24 10:26,"Di tempat kami jg begitu,ada petugas dari kecamatan turun ke desa, warga disuruh bayar 75rb /kk.uang mknx mrk.warga tambah sengsara.ðŸ˜¢ðŸ˜¢ðŸ˜¢",negatif
327,@trilanggeng5456,4/29/24 10:25,Di luar nampak kecerdasannya Tp ternyata dalemannya ancurr Spt ga sanggup memimpin,negatif
328,@bellatoysSemarang,4/29/24 10:25,"Memang sperti itu, gak akan selesai kalo blm di viralkan",negatif
329,@user-lz2oj9fn3t,4/29/24 10:25,"Hadeeeh..., itu alat tuk belajar anak-2 bangsa loh. Tuk mencerdaskan generasi penerus bangsa. Mau itu hibah keq, mau itu beli keq, mau itu ngutang keq. Masa harus di kenakan pajak...???ðŸ¤¦ðŸ¤¦ðŸ¤¦ðŸ¤¦ðŸ¤¦",negatif
330,@edowardoedowardo,4/29/24 10:24,PAJAK PAJAKK EHH KORUPSIIIIIIII,negatif
331,@user-rg9ii3zj1o,4/29/24 10:24,Ini bea cukai pa mafia preman,negatif
332,@dejavuvaganza3317,4/29/24 10:24,Payah...kenapa musti viral dlu?????,negatif
333,@ratnasuminar7120,4/29/24 10:24,Gila ya,negatif
334,@SurjaKhedung-tz3tr,4/29/24 10:24,Viral aja baru kerja.. gak viral nyekek leher orang.. pegawai bea cukai kaya dari duit sumpah serapah orang ðŸ˜…,negatif
335,@nabinuh6402,4/29/24 10:24,Bisanya cuma menekan dan ngeles kalau salah....,negatif
336,@alimuttaqin6796,4/29/24 10:24,Mau bilang apa lagi kalian 58% melanjutkan,negatif
337,@ferrysiahaan2142,4/29/24 10:22,Biadab,negatif
338,@dwiratna5936,4/29/24 10:22,Kemarin juga ada warga indonesia yang bawa piala dari jepang karena menang lomba nyanyi juga diminta uang ðŸ˜„ðŸ‘Ž,negatif
339,@Subarnast8,4/29/24 10:22,Hebat,negatif
340,@juliarso,4/29/24 10:22,Nunggu bosnya turun..,negatif
341,@muxmixmax,4/29/24 10:22,Copot aja tuh dirjen nya,negatif
342,@cleareyes2254,4/29/24 10:22,alesan.,negatif
343,@jessicazena4758,4/29/24 10:20,Makanya pegawai bea cukai kaya2 Pokoknya kalau bisa di peras...,negatif
344,@sampieters4382,4/29/24 10:20,Copot aja bu srik.. kepala Bea Cukai Soetta.. alasannya banyak..,negatif
345,@hasuantolumbangaol5249,4/29/24 10:19,Pelayanan yang baik... Itulah yang menambah pendapatan negara...,negatif
346,@rahmatrudianto3842,4/29/24 10:19,Gak kepolisian ternyata Bea Cukai juga sama. Viral dulu baru kelar urusan,negatif
347,@nafinaf7937,4/29/24 10:19,"Apa yg diharapkan dari rezim yg cuma pengen untung, bahkan dari rakyatnya sendiri?",negatif
348,@donkeysway,4/29/24 10:18,"Satu kata, gila",negatif
349,@opiktaufikurohman9497,4/29/24 10:17,Seharusnya kejaksaan agung yang datang,negatif
350,@erland7089,4/29/24 10:16,"TURUN HUTAN, SERBA TLT",negatif
351,@stgjohn51,4/29/24 10:16,"SDH DIBERI JABATAN BAIK DARI GUSTI ALLAH,TAPI LUPA MELAKUKAN KEBAIKAN.....YAA NANTI KLO SDH KEMBALI KE AKHIRAT BARU TAHU HUKUMANNYA.....KARMA PASTI ADAðŸ™„ðŸ™„",negatif
352,@user-bs6ji7vq5q,4/29/24 10:16,"Bantuan utk ank berkebutuhan khusus dr luar negri di kenakan biaya , padahal jls bantuan / hibah",negatif
353,@NaikTangga-tq8gx,4/29/24 10:15,"Capek sekolah bea cukai, eh ternyata ini kerjaan nya.",negatif
354,@remigarden7455,4/29/24 10:15,Sri mulyani ga bisa bersih sendiri sambil membiarkan bawahannya kotor.. memelihara bawahan yg kotor berarti sama ga beresnya,negatif
355,@BoluKeju,4/29/24 10:15,Harusnya petugas bea cukai di pecat aja,negatif
356,@cucukartini810,4/29/24 10:14,Sedih banget. Teman teman tunanetra sangat membutuhkan alat itu.,negatif
357,@fioretinaaurelia3179,4/29/24 10:14,"Bea cukai adalah lahan basah jadi saya harap jangan di permainkan dong pajak2 yg masuk,,,alangkah baiknya pemerintah sering2 mengaudit kantor bea cukai",negatif
358,@MuraiNyakPha,4/29/24 10:13,Tidak viral. Gak tau malu.... Negara udah bangkrut. Sri ratu utang,negatif
359,@arwahsapi,4/29/24 10:13,Seharusnya kalian malu malah foto-foto,negatif
360,@ihanihanbryan9137,4/29/24 10:13,Sdh ga ada hati nurani si bea cukai keterlaluan loe sdh terlalu kenyang loe korupsi,negatif
361,@Hamkahamkaza,4/29/24 10:13,Tolong di periksa bea cukai indonesia. Yg setuju mohon di like dan di share komen ini,negatif
362,@sabrysaidi6130,4/29/24 10:13,Malu gak sih kinerja bea cukai. Byk bgt di sorot karena pelayanan yg minus,negatif
363,@mommyfatih056,4/29/24 10:12,"Semua kuga tau *""mitos""* orang bea cukai itu pasti kaya",negatif
364,@friedec3622,4/29/24 10:12,Tunggu viral dulu... Menteri harus turun dulu...,negatif
365,@andriowen2376,4/29/24 10:12,Pejabat gak akan pernah merasakan kesulitan seperti ini.,negatif
366,@HeriRealme-bx1nq,4/29/24 10:12,Sukak sukak kalian aja mau buat apa. Negara ini kan punya moyang lu,negatif
367,@FreeVas,4/29/24 10:11,ga ada akhlak...,negatif
368,@ceplickcover7252,4/29/24 10:11,berita kaya gini ketutup dengan pertandingan teamnas...,netral
369,@bintangarie7675,4/29/24 10:11,Klo gak viral .. Gak bakal di tindak lanjuti,negatif
370,@tukiwantukiwan6663,4/29/24 10:11,"Mental aparatnya aja kaya gini ga bermutu, gimana mau jadi Negara maju....? ðŸ˜‚",negatif
371,@landpeace07,4/29/24 10:10,Heran gue juga pemerintah diam aja soal iniðŸ˜¢,negatif
372,@ozavera5026,4/29/24 10:10,"Ya dong, pokoknya musti ngumpulin dana sebanyak2nya kan buat bayar utang negara. Tolong pahami yg milih 02 jangan bingung.",positif
373,@user-iz2vb1tk4z,4/29/24 10:10,"Bea cukai kumpulan Perampok, maka nya mereka kaya raya..",negatif
374,@rudyhermanto3280,4/29/24 10:09,Alasannya bea cukai tidak tau kalo itu bantuan??? Masa sih pihak SLB gak ngasih tauðŸ¤”,negatif
375,@herudian2428,4/29/24 10:09,"Diserahkan Krn udh viral di medsos, byk masyarakat tauðŸ˜‚ðŸ˜‚ No viral No justice",negatif
376,@wangsafficikiwir,5/1/24 23:40,"Bener, coba gak firal Udah masuk perut",negatif
377,@MuhAdzi,5/4/24 3:24,HEHEHEHA ðŸ˜‚,netral
378,@ferdianputra1158,4/29/24 10:09,Hilangkan aja sih bea cukai ini. Ngerepotin orang aja.,negatif
379,@mudjirahayu2907,4/29/24 10:09,Coba KPK itu cek kekayaan para pejabat bea cukai itu. Pasti hartax 7 turunan tdk hbs. ðŸ˜®,negatif
380,@AbdulHadi-vf8ri,4/29/24 10:09,"Bila diperhatikan, kepemimpinan Pak De ini makin menggila penyelewengan2 pejabatnyaðŸ˜‡ðŸ¤¦ðŸ»â€â™‚ï¸",negatif
381,@jojorio3541,4/29/24 10:08,Tingkat terus tongkat terus bosen musuh mafia,negatif
382,@heryanapernata9384,4/29/24 10:08,Adat turun temurun tak berubah..duluu dijaman Orba ada satu universitas dapat hibah mikroskop elektron ketahan sama bea cukai aturan dedelduel..sampai mentri pendidikan turun tangan.,negatif
383,@anjalinusantara,4/29/24 10:08,"Klo salah, minta maaf, trs mundur, pake disuruh lagi",negatif
384,@ontajoget6035,4/29/24 10:08,Srii anak buah mu ngawur KPK jangan tidur,negatif
385,@tedikurniawan1276,4/29/24 10:07,Hahaha lagu lama hahaha,netral
386,@marrdiee91,4/29/24 10:07,Oknum oknum maruk maunya kaya sendiri ya begini ðŸ˜‚ðŸ˜‚ðŸ˜‚,negatif
387,@Viindegamer,4/29/24 10:07,Pengen tau meninggalnya spt apa oknum2,negatif
388,@baladewa1971,4/29/24 10:07,Ayo..!!!! terus viralkan kelakuan TIKUS2 BUSUK dari kantor2 pelayanan publik di negeri kita ini sebeb kalau tidak di viralkan mereka akan merajalela dan kita masyarakat yg akan di rugikan oleh kelakuan mereka.,negatif
